loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1959,3.0721471309661865,1.216e-05,1.3599999999999999,1700,,,,,,,,,,,,,
0.2625,6.338371753692627,1.2011851851851852e-05,1.38,1725,,,,,,,,,,,,,
0.2727,4.827915191650391,1.1863703703703703e-05,1.4,1750,,,,,,,,,,,,,
0.2047,2.0597188472747803,1.1715555555555556e-05,1.42,1775,,,,,,,,,,,,,
0.2457,3.7377946376800537,1.156740740740741e-05,1.44,1800,,,,,,,,,,,,,
0.2158,2.5971179008483887,1.141925925925926e-05,1.46,1825,,,,,,,,,,,,,
0.2526,3.3681352138519287,1.1271111111111113e-05,1.48,1850,,,,,,,,,,,,,
0.2807,9.19599437713623,1.1122962962962965e-05,1.5,1875,,,,,,,,,,,,,
0.2641,5.996308326721191,1.0974814814814816e-05,1.52,1900,,,,,,,,,,,,,
0.2296,2.6756556034088135,1.0826666666666667e-05,1.54,1925,,,,,,,,,,,,,
0.2647,4.380156993865967,1.0678518518518519e-05,1.56,1950,,,,,,,,,,,,,
0.2065,1.7812470197677612,1.053037037037037e-05,1.58,1975,,,,,,,,,,,,,
0.2316,6.216645240783691,1.0382222222222223e-05,1.6,2000,,,,,,,,,,,,,
0.2665,4.0668158531188965,1.0234074074074074e-05,1.62,2025,,,,,,,,,,,,,
0.2405,3.654789924621582,1.0085925925925926e-05,1.6400000000000001,2050,,,,,,,,,,,,,
0.2271,4.412679195404053,9.937777777777779e-06,1.6600000000000001,2075,,,,,,,,,,,,,
0.2194,3.6761112213134766,9.78962962962963e-06,1.6800000000000002,2100,,,,,,,,,,,,,
0.2804,12.666666030883789,9.641481481481483e-06,1.7,2125,,,,,,,,,,,,,
0.2441,3.3155739307403564,9.493333333333334e-06,1.72,2150,,,,,,,,,,,,,
0.2423,5.297130584716797,9.345185185185186e-06,1.74,2175,,,,,,,,,,,,,
0.3085,9.274253845214844,9.197037037037037e-06,1.76,2200,,,,,,,,,,,,,
0.2869,6.281312465667725,9.048888888888888e-06,1.78,2225,,,,,,,,,,,,,
0.2072,28.310121536254883,8.900740740740741e-06,1.8,2250,,,,,,,,,,,,,
0.2431,2.4910755157470703,8.752592592592593e-06,1.8199999999999998,2275,,,,,,,,,,,,,
0.2416,3.419018268585205,8.604444444444446e-06,1.8399999999999999,2300,,,,,,,,,,,,,
0.2746,2.79494309425354,8.456296296296297e-06,1.8599999999999999,2325,,,,,,,,,,,,,
0.2292,5.8405890464782715,8.308148148148148e-06,1.88,2350,,,,,,,,,,,,,
0.2618,11.0762357711792,8.16e-06,1.9,2375,,,,,,,,,,,,,
0.2359,3.6852197647094727,8.011851851851853e-06,1.92,2400,,,,,,,,,,,,,
0.2558,3.617060899734497,7.863703703703704e-06,1.94,2425,,,,,,,,,,,,,
0.233,4.031436920166016,7.715555555555555e-06,1.96,2450,,,,,,,,,,,,,
0.2361,4.660780906677246,7.567407407407408e-06,1.98,2475,,,,,,,,,,,,,
0.2142,9.00036907196045,7.419259259259259e-06,2.0,2500,,,,,,,,,,,,,
,,,2.0,2500,0.2761307656764984,0.8026176626123744,0.8248641304347826,0.813588850174216,0.9184807266733951,771.3094,12.965,3.241,,,,,
0.1539,1.5043582916259766,7.271111111111112e-06,2.02,2525,,,,,,,,,,,,,
0.155,1.8686333894729614,7.122962962962964e-06,2.04,2550,,,,,,,,,,,,,
0.1964,3.014587640762329,6.9748148148148155e-06,2.06,2575,,,,,,,,,,,,,
0.1937,0.7576594352722168,6.826666666666667e-06,2.08,2600,,,,,,,,,,,,,
0.2052,5.3574700355529785,6.678518518518519e-06,2.1,2625,,,,,,,,,,,,,
0.1918,7.445292949676514,6.530370370370371e-06,2.12,2650,,,,,,,,,,,,,
0.1791,3.5995731353759766,6.382222222222223e-06,2.14,2675,,,,,,,,,,,,,
0.1873,2.5988383293151855,6.234074074074075e-06,2.16,2700,,,,,,,,,,,,,
0.179,4.345774173736572,6.085925925925926e-06,2.18,2725,,,,,,,,,,,,,
0.1976,5.248804092407227,5.937777777777778e-06,2.2,2750,,,,,,,,,,,,,
0.2001,2.378232955932617,5.78962962962963e-06,2.22,2775,,,,,,,,,,,,,
0.1765,3.68131160736084,5.6414814814814825e-06,2.24,2800,,,,,,,,,,,,,
0.1822,8.624744415283203,5.493333333333334e-06,2.26,2825,,,,,,,,,,,,,
0.2116,2.4907023906707764,5.351111111111112e-06,2.2800000000000002,2850,,,,,,,,,,,,,
0.187,2.571068048477173,5.202962962962963e-06,2.3,2875,,,,,,,,,,,,,
0.1685,3.991288661956787,5.054814814814816e-06,2.32,2900,,,,,,,,,,,,,
0.2091,3.7679195404052734,4.9066666666666666e-06,2.34,2925,,,,,,,,,,,,,
0.1696,3.4703547954559326,4.758518518518519e-06,2.36,2950,,,,,,,,,,,,,
0.2152,2.544660806655884,4.610370370370371e-06,2.38,2975,,,,,,,,,,,,,
0.1797,1.4864665269851685,4.462222222222223e-06,2.4,3000,,,,,,,,,,,,,
0.1648,2.9530906677246094,4.314074074074074e-06,2.42,3025,,,,,,,,,,,,,
0.1998,4.4486823081970215,4.165925925925926e-06,2.44,3050,,,,,,,,,,,,,
0.1694,5.375269412994385,4.017777777777778e-06,2.46,3075,,,,,,,,,,,,,
0.1989,6.304462909698486,3.86962962962963e-06,2.48,3100,,,,,,,,,,,,,
0.1531,5.084366321563721,3.721481481481482e-06,2.5,3125,,,,,,,,,,,,,
0.2291,2.8964462280273438,3.5733333333333336e-06,2.52,3150,,,,,,,,,,,,,
0.1642,2.9417777061462402,3.4251851851851853e-06,2.54,3175,,,,,,,,,,,,,
0.1739,3.6777052879333496,3.2770370370370375e-06,2.56,3200,,,,,,,,,,,,,
0.1536,1.8187235593795776,3.1288888888888892e-06,2.58,3225,,,,,,,,,,,,,
0.1926,4.791317939758301,2.9807407407407406e-06,2.6,3250,,,,,,,,,,,,,
0.2018,2.8654887676239014,2.8325925925925927e-06,2.62,3275,,,,,,,,,,,,,
0.1586,4.193192481994629,2.6844444444444445e-06,2.64,3300,,,,,,,,,,,,,
0.2048,1.248793363571167,2.5362962962962967e-06,2.66,3325,,,,,,,,,,,,,
0.1442,3.1557772159576416,2.3881481481481484e-06,2.68,3350,,,,,,,,,,,,,
0.1798,1.2771235704421997,2.24e-06,2.7,3375,,,,,,,,,,,,,
0.2144,5.8465399742126465,2.0918518518518523e-06,2.7199999999999998,3400,,,,,,,,,,,,,
0.1461,5.395043849945068,1.9437037037037037e-06,2.74,3425,,,,,,,,,,,,,
0.164,2.8514089584350586,1.7955555555555556e-06,2.76,3450,,,,,,,,,,,,,
0.1849,5.152378082275391,1.6474074074074076e-06,2.7800000000000002,3475,,,,,,,,,,,,,
0.1615,3.212846279144287,1.4992592592592595e-06,2.8,3500,,,,,,,,,,,,,
0.1915,5.419508457183838,1.351111111111111e-06,2.82,3525,,,,,,,,,,,,,
0.1945,5.061391353607178,1.202962962962963e-06,2.84,3550,,,,,,,,,,,,,
0.1744,6.008057117462158,1.054814814814815e-06,2.86,3575,,,,,,,,,,,,,
0.1969,4.426527500152588,9.066666666666668e-07,2.88,3600,,,,,,,,,,,,,
0.1777,3.771094799041748,7.585185185185186e-07,2.9,3625,,,,,,,,,,,,,
0.181,0.8822184801101685,6.103703703703704e-07,2.92,3650,,,,,,,,,,,,,
0.1873,3.5549633502960205,4.6222222222222225e-07,2.94,3675,,,,,,,,,,,,,
0.1677,5.894554138183594,3.1407407407407405e-07,2.96,3700,,,,,,,,,,,,,
0.1694,4.2524871826171875,1.6592592592592593e-07,2.98,3725,,,,,,,,,,,,,
0.2203,4.5098795890808105,1.777777777777778e-08,3.0,3750,,,,,,,,,,,,,
,,,3.0,3750,0.27906253933906555,0.8093953200336179,0.828713768115942,0.8189406315035693,0.9200918527023398,771.5326,12.961,3.24,,,,,
,,,3.0,3750,,,,,,,,,15918.2425,3.769,0.236,1959973678080000.0,0.3324420788447062
